"Category ID";"Active (0/1)";"Name *";"Parent category";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
12;1;Gear;2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;gear;http://192.168.9.117/Prestashop/theme1242/img/c/12.jpg
13;1;"Shop by sport";2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;shop-by-sport;http://192.168.9.117/Prestashop/theme1242/img/c/13.jpg
14;1;Men's;2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;men-s;http://192.168.9.117/Prestashop/theme1242/img/c/14.jpg
15;1;Women's;2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;women-s;http://192.168.9.117/Prestashop/theme1242/img/c/15.jpg
17;1;Brand;2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;brand;http://192.168.9.117/Prestashop/theme1242/img/c/17.jpg
20;1;Uniforms;2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;uniforms;http://192.168.9.117/Prestashop/theme1242/img/c/20.jpg
21;1;NBA;12;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;nba;http://192.168.9.117/Prestashop/theme1242/img/c/21.jpg
22;1;NHL;12;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;nhl;http://192.168.9.117/Prestashop/theme1242/img/c/22.jpg
23;1;NASCAR;12;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;nascar;http://192.168.9.117/Prestashop/theme1242/img/c/23.jpg
24;1;MLB;12;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined. </p>";;;;mlb;http://192.168.9.117/Prestashop/theme1242/img/c/24.jpg
